atmos,SYS,ops,n,significant,serious,cost,release,dead,injured,evacuated,exploded,ignited
FALSE,GD,107,4.149532710280374,2.616822429906542,0.6635514018691588,2298201.9069433133,9413.7046635514,0.19626168224299065,1.2149532710280373,81.88785046728972,0.7289719626168224,1.6728971962616823
FALSE,GT,59,3.0508474576271185,2,0.11864406779661017,1572832.8924947695,37430.325355932204,0.11864406779661017,0.4406779661016949,62.76271186440678,0.15254237288135594,0.23728813559322035
TRUE,GD,1,38,27,4,6908623.750509146,127759.43900000003,2,3,679,8,13
TRUE,GT,1,10,5,0,6213566.705059901,230503.29,0,0,29,1,2
