SYS,n,significant,serious,cost,release,dead,injured,evacuated,exploded,ignited,states
GD,73,51,18,12421531.47515739,162877.199,5,21,1205,17,38,TX; KS; TN; KY; LA; MS; CO
GT,18,12,3,11167363.620642148,284250.32,3,3,637,1,4,TX; KY
