COMMODITY,all_on,nps_10,nps_20,nps_30,nps_40,nps_50,nps_60
Hydrogen Gas,1574.6239999999998,0.5236608866624668,0.4748390726929096,0.0015000406446237324,0,0,0
Landfill Gas,243.827,0.4800411767359644,0.5199588232640355,0,0,0,0
Natural Gas,294517.97400000005,0.2643127614343835,0.27637505750328156,0.31251726592415024,0.10254178239050363,0.04282061236778709,0
Other Gas,1160.473,0.654820060440872,0.3106948632152579,0.01935331541535219,0.0011719359261266743,0.007979504908774268,0
Synthetic Gas,127.59,0.5451054157849361,0.18057841523630377,0.2743161689787601,0,0,0
