COMMODITY,all_on,nps_4,nps_6,nps_8,nps_10,nps_12,nps_14,nps_16,nps_18,nps_20,nps_22,nps_24,nps_26,nps_28,nps_30,nps_32,nps_34,nps_36,nps_38,nps_40,nps_42,nps_44,nps_46,nps_48,nps_52,nps_56,nps_58
Hydrogen Gas,1574.6239999999998,0.04669686223504787,0.08546738777003271,0.19364114861706666,0.1978554880403195,0.14950870811063469,0.14117656024549355,0.006985794704005528,0.11611025870303006,0.061057750929745774,0,8.891011441461582e-6,0,0,0.001491149633182271,0,0,0,0,0,0,0,0,0,0,0,0
Landfill Gas,243.827,0.036136276950460774,0.2475853781574641,0.12934580665799933,0.06697371497004023,0.31255767408859564,0.006233928153978025,0.19989582777953221,0.0012713932419297289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Natural Gas,294517.97400000005,0.06778322466662084,0.06871485201782616,0.07755488294918116,0.050259801800755295,0.0898545872789414,0.006271661368959437,0.07869987588601296,0.014979564540940377,0.08656936842842738,0.014329566860323441,0.10598512062289271,0.04515341735985189,5.257132456031358e-4,0.14652344783547908,6.455293624965655e-5,0.006390659199631732,0.09470863058429162,0.0013556795688130056,2.2260101517607204e-5,0.04199708707761244,0,0,8.235252901746497e-4,0,0,0
Other Gas,1160.473,0.08428976805147556,0.12113508888186111,0.33871533417839106,0.11067986932914424,0.16948950988088476,0.084870565708982465,0.03539505012180379,0.012236389816910862,0.008703347686676036,0,0.01850883217446679,0,0,8.444832408853976e-4,0,0,0.0011719359261266743,0,0,0.007979504908774268,0,0,0,0,0,0
Synthetic Gas,127.59,7.837604827964574e-4,0.08793792616976252,0.0010188886276353945,0.4553648405047417,0.002272905400109726,0,0.1692922642840348,0,0.009013245552159259,0,0.2743161689787601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
